22568	24528	03776673-n
22561	89272	08186221-n
35796	92832	01338178-n
22562	68069	00351576-v
35797	84747	09298569-n
35794	39170	13051694-n
22563	85621	00868448-a
22564	117422	05845419-n
35795	46861	10971697-n
112890	64577	11364243-n
112892	95319	03920181-n
112891	66447	01466198-v
22569	3869	05529729-n
90679	56434	01568092-a
90678	28124	06993015-n
90674	58042	00248748-n
112878	103274	07934282-n
90675	8531	02569130-a
112875	40700	07894799-n
90676	612	08078020-n
90677	5385	03049071-a
112876	95496	14534457-n
90670	52936	02892499-n
112873	61154	12596525-n
90671	35652	03629231-n
112874	54886	02400251-v
112871	84045	01992712-a
90672	96782	00804379-n
90673	26557	15221286-n
112872	75933	04457767-n
35780	108932	01307896-v
35782	16817	07302542-n
35781	116903	14945399-n
112879	31381	10714054-n
68100	63271	11346391-n
68102	101832	02509705-v
35787	19750	10858577-n
22556	95991	08207001-n
35788	111820	10164492-n
22557	41436	06111253-n
68101	83009	02841063-n
22554	47603	03412220-n
35789	53076	14421373-n
68104	96473	08769329-n
68103	4057	02959942-n
22555	70773	02437340-v
35783	47721	10116370-n
22552	45213	13659604-n
68106	43748	02340736-v
22553	35731	13508005-n
35784	67575	01978010-n
68105	89449	10583916-n
68108	106087	00533773-v
22550	19481	12931906-n
35785	74620	02993591-a
68107	38879	13229951-n
35786	66913	12770892-n
22551	87312	00351040-r
112881	76820	07560422-n
112880	91204	03105296-a
68109	97600	01082456-a
90668	77680	10408438-n
90667	105702	04401578-n
22558	31510	03907475-n
22559	43166	00428875-r
90669	40607	01815309-a
112860	117146	02721877-a
112861	109808	01829505-a
112862	27431	05579239-n
112863	96154	06591342-n
112864	64725	02090721-n
112865	51550	00379023-v
112866	13057	01661804-v
112867	19442	01722447-v
112868	71901	02259120-a
112869	32979	07388816-n
35771	72249	04854976-n
35770	15063	12942395-n
35774	91573	14014521-n
35775	40218	05741949-n
22540	19709	01058291-n
35772	20205	15073563-n
22541	86629	00443948-r
22542	34112	02449699-n
35773	53464	09281104-n
35778	1141	10415638-n
22543	72943	02358277-a
22544	40814	01056804-n
35779	1354	15053867-n
22545	93587	08849226-n
35776	96943	03712337-n
22546	112017	00958475-a
35777	90527	02573859-a
22547	25266	06315301-n
22548	35817	00177448-n
22549	46862	06135659-n
112870	18765	11217789-n
90692	40137	00878829-a
112851	54225	00194414-n
90693	106603	02039632-a
112852	73425	03805374-n
90694	90858	07790935-n
90695	2731	12884523-n
112850	97601	00385216-r
90696	38312	09522615-n
112855	82624	10066206-n
112856	108933	00757056-v
90697	69404	08490840-n
112853	7376	07007684-n
90698	55984	07493682-n
112854	61585	10220807-n
90699	74442	01828556-n
112859	31582	13615036-n
112857	46118	06596179-n
112858	61896	14217360-n
35760	30583	00423971-v
90690	96783	14357160-n
90691	21031	09632274-n
22530	21680	01271700-a
35761	73090	10370955-n
22531	66914	10538853-n
35762	80728	08269114-n
35763	56300	03557840-n
35764	46486	11236663-n
22534	57452	02631005-v
35765	86292	15013764-n
35766	110672	05325786-n
22535	94084	03016737-n
22532	20023	02415390-a
35767	93240	00761592-a
22533	55590	02913004-a
35768	61155	09461315-n
35769	45331	10315561-n
22538	23723	02283525-a
90689	100448	06900507-n
22539	98275	00127948-a
22536	41241	11379908-n
22537	36488	09490572-n
82248	13585	09549758-n
82249	41771	12598629-n
82244	21950	05957737-n
82245	43749	02629390-v
82246	27924	12914731-n
82247	18906	11521665-n
76915	114072	10304278-n
82240	13951	06413889-n
76916	13302	01246697-n
82241	73952	02553234-a
76913	12104	15090742-n
82242	22801	05479503-n
68028	24079	14113471-n
76914	44540	03398775-n
68029	15202	00226105-a
82243	89450	10008254-n
68026	114771	01683061-a
76911	55848	07999584-n
76912	42078	13847240-n
68027	25205	13036592-n
68024	66288	03434285-n
76910	107389	00446842-r
68025	60392	14955391-n
68023	5254	02102398-v
68022	56866	02208143-n
68021	94085	14913633-n
68020	26428	07339941-n
76909	75278	02974248-a
76908	105293	12686877-n
76907	103435	00461195-a
76906	18338	14987484-n
82239	14641	08404373-n
82237	39744	06236309-n
82238	49701	01330314-n
82235	80729	12957608-n
82236	37540	02887970-n
82233	88226	12727729-n
82234	9180	01936753-v
82231	101377	02551259-a
76924	4884	01325536-v
68017	60699	03246933-n
68018	104868	01022740-v
76925	67433	02553560-a
82232	89813	03443543-n
68019	40039	10374541-n
76926	82842	10302905-n
76927	110989	08433575-n
82230	40925	09012898-n
76920	66601	01963876-n
68013	68743	01038485-n
76921	42396	04822685-n
68014	89814	12809626-n
76922	72585	00197590-v
68015	77681	06577369-n
68016	40495	05027837-n
76923	25430	08751317-n
68010	100775	00579334-n
68012	23495	00240343-r
68011	10407	01630773-a
76918	61004	01689589-v
76917	28436	01813053-v
76919	59001	07086972-n
82222	105840	02720312-a
82223	53777	14150210-n
82224	100932	11828113-n
82225	63272	11416722-n
82226	82118	05999134-n
82227	84748	02010864-v
82228	32436	01176897-v
82229	43271	03440024-n
68004	8699	06483992-n
68005	5135	01710481-v
68002	104731	00333938-r
35689	98435	01915131-v
35688	38402	00158384-v
68003	74621	02306874-a
68008	61741	04284341-n
35687	92833	02191139-a
68009	112550	01360091-v
35686	109909	01273033-a
82220	114158	01213273-v
68006	35818	09557632-n
35685	83533	02654035-a
82221	111727	13224922-n
68007	31661	13656204-n
35684	75454	04149208-n
35682	56575	11421822-n
35683	109698	00812154-n
35680	92473	08605720-n
35681	102705	10348874-n
68001	2252	10013927-n
68000	107661	00721755-v
112898	86458	01174988-n
112897	59630	14299336-n
82219	84922	01924148-v
112899	8686	00480211-n
112894	2593	04264914-n
112893	83869	00811039-v
112896	94086	13437902-n
112895	35422	09594604-n
82213	76479	05839910-n
82214	116596	02666434-a
82211	50340	01979124-n
82212	108295	00290527-r
82217	9632	07753592-n
82218	36224	01923404-n
82215	98097	10184946-n
82216	106492	00419876-r
35699	3886	02235229-v
76900	5834	03871083-n
76901	106212	14697600-n
35696	23774	00259643-n
76902	85444	01910873-v
35695	46487	09464805-n
76903	22696	01760677-v
82210	59783	01085337-n
35698	113313	02729819-v
76904	40608	09269717-n
35697	72250	11827348-n
76905	73091	04015786-n
35691	104316	00585907-v
35692	109048	02982288-a
35693	92102	05862970-n
35694	62180	05909585-n
35690	114326	00283454-r
82209	39929	03155502-n
82208	88227	00377524-a
68069	68581	01744450-v
68068	20947	01901828-n
82205	5228	13460299-n
82204	6001	07186148-n
82207	94087	02021415-a
82206	4461	00868910-n
82201	75455	09094217-n
82200	108816	07006018-n
82203	14471	04406350-n
82202	77682	10757625-n
68066	98098	01045520-n
68067	81226	02878252-a
68064	74266	12234513-n
68065	18527	01444022-a
68062	6221	09312843-n
68063	59152	13620871-n
68060	111536	00282790-v
68061	97089	00260835-r
68058	48463	00497536-n
68057	107263	04095853-n
68059	13283	11638109-n
68053	40040	13277492-n
